TAXA	Isolate ID	Bioproject	Inner_northwest_genomic_signature_SNP	Case_ID
SRR6346304	DMG1701396	PRJNA421048	N	NA
SRR6346314	DMG1701508	PRJNA421048	N	NA
SRR6346316	DMG1701512	PRJNA421048	N	NA
SRR6346328	DMG1701409	PRJNA421048	N	NA
SRR6346330	DMG1701403	PRJNA421048	N	NA
SRR6346331	DMG1701400	PRJNA421048	N	NA
SRR6346333	DMG1701406	PRJNA421048	N	NA
SRR6346335	DMG1701404	PRJNA421048	N	NA
SRR6346336	DMG1701405	PRJNA421048	N	NA
SRR6346339	DMG1701495	PRJNA421048	N	NA
SRR6346340	DMG1701493	PRJNA421048	N	NA
SRR6346351	DMG1701477	PRJNA421048	N	NA
SRR6346358	DMG1701377	PRJNA421048	N	NA
SRR6346359	DMG1701376	PRJNA421048	N	NA
SRR6346362	DMG1701373	PRJNA421048	N	NA
SRR6346364	DMG1701371	PRJNA421048	N	NA
SRR6346374	DMG1701384	PRJNA421048	N	NA
SRR6346377	DMG1701522	PRJNA421048	N	NA
